event_team,event_team_id
Anaheim Ducks,24.0
Arizona Coyotes,53.0
Boston Bruins,6.0
Buffalo Sabres,7.0
Calgary Flames,20.0
Carolina Hurricanes,12.0
Chicago Blackhawks,16.0
Colorado Avalanche,21.0
Columbus Blue Jackets,29.0
Dallas Stars,25.0
Detroit Red Wings,17.0
Edmonton Oilers,22.0
Florida Panthers,13.0
Los Angeles Kings,26.0
Minnesota Wild,30.0
Montréal Canadiens,8.0
Nashville Predators,18.0
New Jersey Devils,1.0
New York Islanders,2.0
New York Rangers,3.0
Ottawa Senators,9.0
Philadelphia Flyers,4.0
Pittsburgh Penguins,5.0
San Jose Sharks,28.0
Seattle Kraken,55.0
St. Louis Blues,19.0
Tampa Bay Lightning,14.0
Toronto Maple Leafs,10.0
Vancouver Canucks,23.0
Vegas Golden Knights,54.0
Washington Capitals,15.0
Winnipeg Jets,52.0
